Data,Temperatura,Umidade,IndiceCalor
1700598666,30.0,26.0,28.495695
1700598669,30.0,26.0,28.495695
1700598672,30.0,26.0,28.495695
1700598675,30.0,26.0,28.495695
1700598678,29.0,26.0,27.669159
1700598681,29.0,27.0,27.715265
1700598684,29.0,27.0,27.715265
1700598687,29.0,27.0,27.715265
1700598690,29.0,28.0,27.764572
1700598693,28.0,28.0,27.007383
1700598696,28.0,28.0,27.007383
1700598699,28.0,28.0,27.007383
1700598702,28.0,28.0,27.007383
1700598705,28.0,28.0,27.007383
1700598708,28.0,29.0,27.050232
1700598711,28.0,29.0,27.050232
1700598714,27.0,29.0,26.381012
1700598718,27.0,29.0,26.381012
1700598720,27.0,29.0,26.381012
1700598723,27.0,29.0,26.381012
1700598726,27.0,30.0,26.419308
1700598730,27.0,30.0,26.419308
1700598733,27.0,30.0,26.419308
1700598736,27.0,30.0,26.419308
1700598739,27.0,31.0,26.458704
1700598742,26.0,31.0,25.464748
1700598745,26.0,31.0,25.464748
1700598748,26.0,31.0,25.464748
1700598751,26.0,31.0,25.464748
1700598754,26.0,32.0,25.490858
1700598757,26.0,32.0,25.490858
1700598760,26.0,32.0,25.490858
1700598763,26.0,32.0,25.490858
1700598766,26.0,33.0,25.516968
1700598769,26.0,33.0,25.516968
1700598772,25.0,33.0,24.416977
1700598775,25.0,33.0,24.416977
1700598778,25.0,34.0,24.44309
1700598781,25.0,34.0,24.44309
1700598784,25.0,34.0,24.44309
1700598787,25.0,34.0,24.44309
1700598790,25.0,34.0,24.44309
1700598793,25.0,35.0,24.469198
1700598796,25.0,35.0,24.469198
1700598799,25.0,35.0,24.469198
1700598802,25.0,36.0,24.495312
1700598805,25.0,36.0,24.495312
1700598809,25.0,36.0,24.495312
1700598812,25.0,36.0,24.495312
1700598815,25.0,37.0,24.521421
1700598818,24.0,37.0,23.421431
1700598821,24.0,37.0,23.421431
1700598824,24.0,37.0,23.421431
1700598827,24.0,38.0,23.44754
1700598830,24.0,38.0,23.44754
1700598833,24.0,38.0,23.44754
1700598836,24.0,39.0,23.473654
1700598839,24.0,39.0,23.473654
1700598842,24.0,39.0,23.473654
1700598845,24.0,40.0,23.499762
1700598848,24.0,40.0,23.499762
1700598851,24.0,40.0,23.499762
1700598854,24.0,40.0,23.499762
1700598857,24.0,40.0,23.499762
1700598860,24.0,40.0,23.499762
1700598863,24.0,40.0,23.499762
1700598866,24.0,40.0,23.499762
1700598869,24.0,41.0,23.525875
1700598872,24.0,41.0,23.525875
1700598875,24.0,41.0,23.525875
1700598878,23.0,41.0,22.42589
1700598881,23.0,41.0,22.42589
1700598884,23.0,41.0,22.42589
1700598887,23.0,41.0,22.42589
1700598891,23.0,41.0,22.42589
1700598894,23.0,42.0,22.451998
1700598897,23.0,42.0,22.451998
1700598900,23.0,42.0,22.451998
1700598903,23.0,42.0,22.451998
1700598906,23.0,42.0,22.451998
1700598909,23.0,42.0,22.451998
1700598912,23.0,42.0,22.451998
1700598915,23.0,42.0,22.451998
1700598918,23.0,43.0,22.478107
1700598921,23.0,43.0,22.478107
1700598924,23.0,43.0,22.478107
1700598927,23.0,43.0,22.478107
1700598930,23.0,43.0,22.478107
1700598933,23.0,43.0,22.478107
1700598936,23.0,43.0,22.478107
1700598939,23.0,43.0,22.478107
1700598942,23.0,44.0,22.504221
1700598945,23.0,44.0,22.504221
1700598948,23.0,44.0,22.504221
1700598951,23.0,44.0,22.504221
1700598954,23.0,44.0,22.504221
1700598957,23.0,44.0,22.504221
1700598960,23.0,45.0,22.530331
1700598963,23.0,45.0,22.530331
1700598967,23.0,45.0,22.530331
1700598971,23.0,45.0,22.530331
1700598972,23.0,45.0,22.530331
1700598976,23.0,45.0,22.530331
1700598979,22.0,45.0,21.43034
1700598982,23.0,46.0,22.556444
1700598985,23.0,46.0,22.556444
1700598988,23.0,46.0,22.556444
1700598991,23.0,46.0,22.556444
1700598994,23.0,46.0,22.556444
1700598997,23.0,46.0,22.556444
1700599000,23.0,47.0,22.582554
1700599003,23.0,47.0,22.582554
1700599006,23.0,47.0,22.582554
1700599009,23.0,47.0,22.582554
1700599012,23.0,47.0,22.582554
1700599015,22.0,47.0,21.482563
1700599018,23.0,48.0,22.608662
1700599021,23.0,48.0,22.608662
